AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
245,Normal KCC,239,19-06-2023,,14000,0,0,0,0,0,0,14000,0,0,0,0,91150301037001,,Sugar Cane Plant
434,Normal KCC,240,19-06-2023,,14000,0,0,0,0,0,0,14000,0,0,0,0,91150301037001,,Sugar Cane Plant
435,Normal KCC,241,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
436,Normal KCC,242,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
440,Normal KCC,243,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
442,Normal KCC,244,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
443,Normal KCC,245,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
453,Normal KCC,246,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
460,Normal KCC,247,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
467,Normal KCC,248,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
470,Normal KCC,249,19-06-2023,,10000,0,0,0,0,0,0,10000,0,0,0,0,91150301037001,,Sugar Cane Plant
244,Normal KCC,250,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
325,Normal KCC,251,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
418,Normal KCC,252,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
488,Normal KCC,253,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
